orderid,productid,unitprice,quantity,discount,customerid,employeeid,orderdate,requireddate,shippeddate,shipvia,freight,shipname,shipaddress,shipcity,shipregion,shippostalcode,shipcountry,companyname,contactname,contacttitle,address,city,region,postalcode,country,phone,fax,productname,supplierid,categoryid,quantityperunit,unitsinstock,unitsonorder,reorderlevel,discontinued,categoryname,description,picture,ca,order_month,order_year
10391,13,4.8,18,0.0,DRACD,3,1996-12-23,1997-01-20 00:00:00.000,1996-12-31 00:00:00.000,3,5.45,Drachenblut Delikatessen,Walserweg 21,Aachen,,52066,Germany,Drachenblut Delikatessen,Sven Ottlieb,Order Administrator,Walserweg 21,Aachen,,52066,Germany,0241-039123,0241-059428,Konbu,6,8,2 kg box,24,0,5,0,Seafood,Seaweed and fish,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E5069637475726500010500000200000007000000504272757368000000000000000000A0290000424D98290000000000005600000028000000AC00000078000000010004000000000000000000880B0000880B0000080000,86.39999999999999,1996-12,1996
10392,69,28.8,50,0.0,PICCO,2,1996-12-24,1997-01-21 00:00:00.000,1997-01-01 00:00:00.000,3,122.46,Piccolo und mehr,Geislweg 14,Salzburg,,5020,Austria,Piccolo und mehr,Georg Pipps,Sales Manager,Geislweg 14,Salzburg,,5020,Austria,6562-9722,6562-9723,Gudbrandsdalsost,15,4,10 kg pkg.,26,0,15,0,Dairy Products,Cheeses,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E5069637475726500010500000200000007000000504272757368000000000000000000A0290000424D98290000000000005600000028000000AC00000078000000010004000000000000000000880B0000880B0000080000,1440.0,1996-12,1996
10393,2,15.2,25,0.25,SAVEA,1,1996-12-25,1997-01-22 00:00:00.000,1997-01-03 00:00:00.000,3,126.56,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA,Save-a-lot Markets,Jose Pavarotti,Sales Representative,187 Suffolk Ln.,Boise,ID,83720,USA,(208) 555-8097,,Chang,1,1,24 - 12 oz bottles,17,40,25,0,Beverages,Soft drinks coffees teas beers and ales,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E5069637475726500010500000200000007000000504272757368000000000000000000A0290000424D98290000000000005600000028000000AC00000078000000010004000000000000000000880B0000880B0000080000,285.0,1996-12,1996
10393,14,18.6,42,0.25,SAVEA,1,1996-12-25,1997-01-22 00:00:00.000,1997-01-03 00:00:00.000,3,126.56,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA,Save-a-lot Markets,Jose Pavarotti,Sales Representative,187 Suffolk Ln.,Boise,ID,83720,USA,(208) 555-8097,,Tofu,6,7,40 - 100 g pkgs.,35,0,0,0,Produce,Dried fruit and bean curd,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E5069637475726500010500000200000007000000504272757368000000000000000000A0290000424D98290000000000005600000028000000AC00000078000000010004000000000000000000880B0000880B0000080000,585.9000000000001,1996-12,1996
10393,25,11.2,7,0.25,SAVEA,1,1996-12-25,1997-01-22 00:00:00.000,1997-01-03 00:00:00.000,3,126.56,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA,Save-a-lot Markets,Jose Pavarotti,Sales Representative,187 Suffolk Ln.,Boise,ID,83720,USA,(208) 555-8097,,NuNuCa Nuß-Nougat-Creme,11,3,20 - 450 g glasses,76,0,30,0,Confections,Desserts candies and sweet breads,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E5069637475726500010500000200000007000000504272757368000000000000000000A0290000424D98290000000000005600000028000000AC00000078000000010004000000000000000000880B0000880B0000080000,58.8,1996-12,1996
10393,26,24.9,70,0.25,SAVEA,1,1996-12-25,1997-01-22 00:00:00.000,1997-01-03 00:00:00.000,3,126.56,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA,Save-a-lot Markets,Jose Pavarotti,Sales Representative,187 Suffolk Ln.,Boise,ID,83720,USA,(208) 555-8097,,Gumbär Gummibärchen,11,3,100 - 250 g bags,15,0,0,0,Confections,Desserts candies and sweet breads,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E5069637475726500010500000200000007000000504272757368000000000000000000A0290000424D98290000000000005600000028000000AC00000078000000010004000000000000000000880B0000880B0000080000,1307.25,1996-12,1996
10393,31,10.0,32,0.0,SAVEA,1,1996-12-25,1997-01-22 00:00:00.000,1997-01-03 00:00:00.000,3,126.56,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA,Save-a-lot Markets,Jose Pavarotti,Sales Representative,187 Suffolk Ln.,Boise,ID,83720,USA,(208) 555-8097,,Gorgonzola Telino,14,4,12 - 100 g pkgs,0,70,20,0,Dairy Products,Cheeses,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E5069637475726500010500000200000007000000504272757368000000000000000000A0290000424D98290000000000005600000028000000AC00000078000000010004000000000000000000880B0000880B0000080000,320.0,1996-12,1996
10394,13,4.8,10,0.0,HUNGC,1,1996-12-25,1997-01-22 00:00:00.000,1997-01-03 00:00:00.000,3,30.34,Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin,OR,97827,USA,Hungry Coyote Import Store,Yoshi Latimer,Sales Representative,City Center Plaza 516 Main St.,Elgin,OR,97827,USA,(503) 555-6874,(503) 555-2376,Konbu,6,8,2 kg box,24,0,5,0,Seafood,Seaweed and fish,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E5069637475726500010500000200000007000000504272757368000000000000000000A0290000424D98290000000000005600000028000000AC00000078000000010004000000000000000000880B0000880B0000080000,48.0,1996-12,1996
10394,62,39.4,10,0.0,HUNGC,1,1996-12-25,1997-01-22 00:00:00.000,1997-01-03 00:00:00.000,3,30.34,Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin,OR,97827,USA,Hungry Coyote Import Store,Yoshi Latimer,Sales Representative,City Center Plaza 516 Main St.,Elgin,OR,97827,USA,(503) 555-6874,(503) 555-2376,Tarte au sucre,29,3,48 pies,17,0,0,0,Confections,Desserts candies and sweet breads,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E5069637475726500010500000200000007000000504272757368000000000000000000A0290000424D98290000000000005600000028000000AC00000078000000010004000000000000000000880B0000880B0000080000,394.0,1996-12,1996
10395,46,9.6,28,0.1,HILAA,6,1996-12-26,1997-01-23 00:00:00.000,1997-01-03 00:00:00.000,1,184.41,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,HILARION-Abastos,Carlos Hernández,Sales Representative,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,(5) 555-1340,(5) 555-1948,Spegesild,21,8,4 - 450 g glasses,95,0,0,0,Seafood,Seaweed and fish,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E5069637475726500010500000200000007000000504272757368000000000000000000A0290000424D98290000000000005600000028000000AC00000078000000010004000000000000000000880B0000880B0000080000,241.92000000000002,1996-12,1996
10395,53,26.2,70,0.1,HILAA,6,1996-12-26,1997-01-23 00:00:00.000,1997-01-03 00:00:00.000,1,184.41,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,HILARION-Abastos,Carlos Hernández,Sales Representative,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,(5) 555-1340,(5) 555-1948,Perth Pasties,24,6,48 pieces,0,0,0,1,Meat/Poultry,Prepared meats,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E5069637475726500010500000200000007000000504272757368000000000000000000A0290000424D98290000000000005600000028000000AC00000078000000010004000000000000000000880B0000880B0000080000,1650.6000000000001,1996-12,1996
10395,69,28.8,8,0.0,HILAA,6,1996-12-26,1997-01-23 00:00:00.000,1997-01-03 00:00:00.000,1,184.41,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,HILARION-Abastos,Carlos Hernández,Sales Representative,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,(5) 555-1340,(5) 555-1948,Gudbrandsdalsost,15,4,10 kg pkg.,26,0,15,0,Dairy Products,Cheeses,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E5069637475726500010500000200000007000000504272757368000000000000000000A0290000424D98290000000000005600000028000000AC00000078000000010004000000000000000000880B0000880B0000080000,230.4,1996-12,1996
10396,23,7.2,40,0.0,FRANK,1,1996-12-27,1997-01-10 00:00:00.000,1997-01-06 00:00:00.000,3,135.35,Frankenversand,Berliner Platz 43,München,,80805,Germany,Frankenversand,Peter Franken,Marketing Manager,Berliner Platz 43,München,,80805,Germany,089-0877310,089-0877451,Tunnbröd,9,5,12 - 250 g pkgs.,61,0,25,0,Grains/Cereals,Breads crackers pasta and cereal,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E5069637475726500010500000200000007000000504272757368000000000000000000A0290000424D98290000000000005600000028000000AC00000078000000010004000000000000000000880B0000880B0000080000,288.0,1996-12,1996
10396,71,17.2,60,0.0,FRANK,1,1996-12-27,1997-01-10 00:00:00.000,1997-01-06 00:00:00.000,3,135.35,Frankenversand,Berliner Platz 43,München,,80805,Germany,Frankenversand,Peter Franken,Marketing Manager,Berliner Platz 43,München,,80805,Germany,089-0877310,089-0877451,Flotemysost,15,4,10 - 500 g pkgs.,26,0,0,0,Dairy Products,Cheeses,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E5069637475726500010500000200000007000000504272757368000000000000000000A0290000424D98290000000000005600000028000000AC00000078000000010004000000000000000000880B0000880B0000080000,1032.0,1996-12,1996
10396,72,27.8,21,0.0,FRANK,1,1996-12-27,1997-01-10 00:00:00.000,1997-01-06 00:00:00.000,3,135.35,Frankenversand,Berliner Platz 43,München,,80805,Germany,Frankenversand,Peter Franken,Marketing Manager,Berliner Platz 43,München,,80805,Germany,089-0877310,089-0877451,Mozzarella di Giovanni,14,4,24 - 200 g pkgs.,14,0,0,0,Dairy Products,Cheeses,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E5069637475726500010500000200000007000000504272757368000000000000000000A0290000424D98290000000000005600000028000000AC00000078000000010004000000000000000000880B0000880B0000080000,583.8000000000001,1996-12,1996
10397,21,8.0,10,0.15,PRINI,5,1996-12-27,1997-01-24 00:00:00.000,1997-01-02 00:00:00.000,1,60.26,Princesa Isabel Vinhos,Estrada da saúde n. 58,Lisboa,,1756,Portugal,Princesa Isabel Vinhos,Isabel de Castro,Sales Representative,Estrada da saúde n. 58,Lisboa,,1756,Portugal,(1) 356-5634,,Sir Rodney's Scones,8,3,24 pkgs. x 4 pieces,3,40,5,0,Confections,Desserts candies and sweet breads,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E5069637475726500010500000200000007000000504272757368000000000000000000A0290000424D98290000000000005600000028000000AC00000078000000010004000000000000000000880B0000880B0000080000,68.0,1996-12,1996
10397,51,42.4,18,0.15,PRINI,5,1996-12-27,1997-01-24 00:00:00.000,1997-01-02 00:00:00.000,1,60.26,Princesa Isabel Vinhos,Estrada da saúde n. 58,Lisboa,,1756,Portugal,Princesa Isabel Vinhos,Isabel de Castro,Sales Representative,Estrada da saúde n. 58,Lisboa,,1756,Portugal,(1) 356-5634,,Manjimup Dried Apples,24,7,50 - 300 g pkgs.,20,0,10,0,Produce,Dried fruit and bean curd,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E5069637475726500010500000200000007000000504272757368000000000000000000A0290000424D98290000000000005600000028000000AC00000078000000010004000000000000000000880B0000880B0000080000,648.7199999999999,1996-12,1996
10398,35,14.4,30,0.0,SAVEA,2,1996-12-30,1997-01-27 00:00:00.000,1997-01-09 00:00:00.000,3,89.16,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA,Save-a-lot Markets,Jose Pavarotti,Sales Representative,187 Suffolk Ln.,Boise,ID,83720,USA,(208) 555-8097,,Steeleye Stout,16,1,24 - 12 oz bottles,20,0,15,0,Beverages,Soft drinks coffees teas beers and ales,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E5069637475726500010500000200000007000000504272757368000000000000000000A0290000424D98290000000000005600000028000000AC00000078000000010004000000000000000000880B0000880B0000080000,432.0,1996-12,1996
10398,55,19.2,120,0.1,SAVEA,2,1996-12-30,1997-01-27 00:00:00.000,1997-01-09 00:00:00.000,3,89.16,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA,Save-a-lot Markets,Jose Pavarotti,Sales Representative,187 Suffolk Ln.,Boise,ID,83720,USA,(208) 555-8097,,Pâté chinois,25,6,24 boxes x 2 pies,115,0,20,0,Meat/Poultry,Prepared meats,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E5069637475726500010500000200000007000000504272757368000000000000000000A0290000424D98290000000000005600000028000000AC00000078000000010004000000000000000000880B0000880B0000080000,2073.6,1996-12,1996
10399,68,10.0,60,0.0,VAFFE,8,1996-12-31,1997-01-14 00:00:00.000,1997-01-08 00:00:00.000,3,27.36,Vaffeljernet,Smagsloget 45,Århus,,8200,Denmark,Vaffeljernet,Palle Ibsen,Sales Manager,Smagsloget 45,Århus,,8200,Denmark,86 21 32 43,86 22 33 44,Scottish Longbreads,8,3,10 boxes x 8 pieces,6,10,15,0,Confections,Desserts candies and sweet breads,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E5069637475726500010500000200000007000000504272757368000000000000000000A0290000424D98290000000000005600000028000000AC00000078000000010004000000000000000000880B0000880B0000080000,600.0,1996-12,1996
10399,71,17.2,30,0.0,VAFFE,8,1996-12-31,1997-01-14 00:00:00.000,1997-01-08 00:00:00.000,3,27.36,Vaffeljernet,Smagsloget 45,Århus,,8200,Denmark,Vaffeljernet,Palle Ibsen,Sales Manager,Smagsloget 45,Århus,,8200,Denmark,86 21 32 43,86 22 33 44,Flotemysost,15,4,10 - 500 g pkgs.,26,0,0,0,Dairy Products,Cheeses,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E5069637475726500010500000200000007000000504272757368000000000000000000A0290000424D98290000000000005600000028000000AC00000078000000010004000000000000000000880B0000880B0000080000,516.0,1996-12,1996
10399,76,14.4,35,0.0,VAFFE,8,1996-12-31,1997-01-14 00:00:00.000,1997-01-08 00:00:00.000,3,27.36,Vaffeljernet,Smagsloget 45,Århus,,8200,Denmark,Vaffeljernet,Palle Ibsen,Sales Manager,Smagsloget 45,Århus,,8200,Denmark,86 21 32 43,86 22 33 44,Lakkalikööri,23,1,500 ml,57,0,20,0,Beverages,Soft drinks coffees teas beers and ales,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E5069637475726500010500000200000007000000504272757368000000000000000000A0290000424D98290000000000005600000028000000AC00000078000000010004000000000000000000880B0000880B0000080000,504.0,1996-12,1996
10399,77,10.4,14,0.0,VAFFE,8,1996-12-31,1997-01-14 00:00:00.000,1997-01-08 00:00:00.000,3,27.36,Vaffeljernet,Smagsloget 45,Århus,,8200,Denmark,Vaffeljernet,Palle Ibsen,Sales Manager,Smagsloget 45,Århus,,8200,Denmark,86 21 32 43,86 22 33 44,Original Frankfurter grüne Soße,12,2,12 boxes,32,0,15,0,Condiments,Sweet and savory sauces relishes spreads and seasonings,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E5069637475726500010500000200000007000000504272757368000000000000000000A0290000424D98290000000000005600000028000000AC00000078000000010004000000000000000000880B0000880B0000080000,145.6,1996-12,1996
10400,29,99.0,21,0.0,EASTC,1,1997-01-01,1997-01-29 00:00:00.000,1997-01-16 00:00:00.000,3,83.93,Eastern Connection,35 King George,London,,WX3 6FW,UK,Eastern Connection,Ann Devon,Sales Agent,35 King George,London,,WX3 6FW,UK,(171) 555-0297,(171) 555-3373,Thüringer Rostbratwurst,12,6,50 bags x 30 sausgs.,0,0,0,1,Meat/Poultry,Prepared meats,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E5069637475726500010500000200000007000000504272757368000000000000000000A0290000424D98290000000000005600000028000000AC00000078000000010004000000000000000000880B0000880B0000080000,2079.0,1997-01,1997
10400,35,14.4,35,0.0,EASTC,1,1997-01-01,1997-01-29 00:00:00.000,1997-01-16 00:00:00.000,3,83.93,Eastern Connection,35 King George,London,,WX3 6FW,UK,Eastern Connection,Ann Devon,Sales Agent,35 King George,London,,WX3 6FW,UK,(171) 555-0297,(171) 555-3373,Steeleye Stout,16,1,24 - 12 oz bottles,20,0,15,0,Beverages,Soft drinks coffees teas beers and ales,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E5069637475726500010500000200000007000000504272757368000000000000000000A0290000424D98290000000000005600000028000000AC00000078000000010004000000000000000000880B0000880B0000080000,504.0,1997-01,1997
10400,49,16.0,30,0.0,EASTC,1,1997-01-01,1997-01-29 00:00:00.000,1997-01-16 00:00:00.000,3,83.93,Eastern Connection,35 King George,London,,WX3 6FW,UK,Eastern Connection,Ann Devon,Sales Agent,35 King George,London,,WX3 6FW,UK,(171) 555-0297,(171) 555-3373,Maxilaku,23,3,24 - 50 g pkgs.,10,60,15,0,Confections,Desserts candies and sweet breads,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E5069637475726500010500000200000007000000504272757368000000000000000000A0290000424D98290000000000005600000028000000AC00000078000000010004000000000000000000880B0000880B0000080000,480.0,1997-01,1997
10401,30,20.7,18,0.0,RATTC,1,1997-01-01,1997-01-29 00:00:00.000,1997-01-10 00:00:00.000,1,12.51,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,2817 Milton Dr.,Albuquerque,NM,87110,USA,(505) 555-5939,(505) 555-3620,Nord-Ost Matjeshering,13,8,10 - 200 g glasses,10,0,15,0,Seafood,Seaweed and fish,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E5069637475726500010500000200000007000000504272757368000000000000000000A0290000424D98290000000000005600000028000000AC00000078000000010004000000000000000000880B0000880B0000080000,372.59999999999997,1997-01,1997
10401,56,30.4,70,0.0,RATTC,1,1997-01-01,1997-01-29 00:00:00.000,1997-01-10 00:00:00.000,1,12.51,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,2817 Milton Dr.,Albuquerque,NM,87110,USA,(505) 555-5939,(505) 555-3620,Gnocchi di nonna Alice,26,5,24 - 250 g pkgs.,21,10,30,0,Grains/Cereals,Breads crackers pasta and cereal,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E5069637475726500010500000200000007000000504272757368000000000000000000A0290000424D98290000000000005600000028000000AC00000078000000010004000000000000000000880B0000880B0000080000,2128.0,1997-01,1997
10401,65,16.8,20,0.0,RATTC,1,1997-01-01,1997-01-29 00:00:00.000,1997-01-10 00:00:00.000,1,12.51,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,2817 Milton Dr.,Albuquerque,NM,87110,USA,(505) 555-5939,(505) 555-3620,Louisiana Fiery Hot Pepper Sauce,2,2,32 - 8 oz bottles,76,0,0,0,Condiments,Sweet and savory sauces relishes spreads and seasonings,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E5069637475726500010500000200000007000000504272757368000000000000000000A0290000424D98290000000000005600000028000000AC00000078000000010004000000000000000000880B0000880B0000080000,336.0,1997-01,1997
10401,71,17.2,60,0.0,RATTC,1,1997-01-01,1997-01-29 00:00:00.000,1997-01-10 00:00:00.000,1,12.51,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,2817 Milton Dr.,Albuquerque,NM,87110,USA,(505) 555-5939,(505) 555-3620,Flotemysost,15,4,10 - 500 g pkgs.,26,0,0,0,Dairy Products,Cheeses,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E5069637475726500010500000200000007000000504272757368000000000000000000A0290000424D98290000000000005600000028000000AC00000078000000010004000000000000000000880B0000880B0000080000,1032.0,1997-01,1997
10402,23,7.2,60,0.0,ERNSH,8,1997-01-02,1997-02-13 00:00:00.000,1997-01-10 00:00:00.000,2,67.88,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,Ernst Handel,Roland Mendel,Sales Manager,Kirchgasse 6,Graz,,8010,Austria,7675-3425,7675-3426,Tunnbröd,9,5,12 - 250 g pkgs.,61,0,25,0,Grains/Cereals,Breads crackers pasta and cereal,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E5069637475726500010500000200000007000000504272757368000000000000000000A0290000424D98290000000000005600000028000000AC00000078000000010004000000000000000000880B0000880B0000080000,432.0,1997-01,1997
10402,63,35.1,65,0.0,ERNSH,8,1997-01-02,1997-02-13 00:00:00.000,1997-01-10 00:00:00.000,2,67.88,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,Ernst Handel,Roland Mendel,Sales Manager,Kirchgasse 6,Graz,,8010,Austria,7675-3425,7675-3426,Vegie-spread,7,2,15 - 625 g jars,24,0,5,0,Condiments,Sweet and savory sauces relishes spreads and seasonings,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E5069637475726500010500000200000007000000504272757368000000000000000000A0290000424D98290000000000005600000028000000AC00000078000000010004000000000000000000880B0000880B0000080000,2281.5,1997-01,1997
10403,16,13.9,21,0.15,ERNSH,4,1997-01-03,1997-01-31 00:00:00.000,1997-01-09 00:00:00.000,3,73.79,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,Ernst Handel,Roland Mendel,Sales Manager,Kirchgasse 6,Graz,,8010,Austria,7675-3425,7675-3426,Pavlova,7,3,32 - 500 g boxes,29,0,10,0,Confections,Desserts candies and sweet breads,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E5069637475726500010500000200000007000000504272757368000000000000000000A0290000424D98290000000000005600000028000000AC00000078000000010004000000000000000000880B0000880B0000080000,248.115,1997-01,1997
10403,48,10.2,70,0.15,ERNSH,4,1997-01-03,1997-01-31 00:00:00.000,1997-01-09 00:00:00.000,3,73.79,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,Ernst Handel,Roland Mendel,Sales Manager,Kirchgasse 6,Graz,,8010,Austria,7675-3425,7675-3426,Chocolade,22,3,10 pkgs.,15,70,25,0,Confections,Desserts candies and sweet breads,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E5069637475726500010500000200000007000000504272757368000000000000000000A0290000424D98290000000000005600000028000000AC00000078000000010004000000000000000000880B0000880B0000080000,606.9,1997-01,1997
10404,26,24.9,30,0.05,MAGAA,2,1997-01-03,1997-01-31 00:00:00.000,1997-01-08 00:00:00.000,1,155.97,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,,24100,Italy,Magazzini Alimentari Riuniti,Giovanni Rovelli,Marketing Manager,Via Ludovico il Moro 22,Bergamo,,24100,Italy,035-640230,035-640231,Gumbär Gummibärchen,11,3,100 - 250 g bags,15,0,0,0,Confections,Desserts candies and sweet breads,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E5069637475726500010500000200000007000000504272757368000000000000000000A0290000424D98290000000000005600000028000000AC00000078000000010004000000000000000000880B0000880B0000080000,709.65,1997-01,1997
10404,42,11.2,40,0.05,MAGAA,2,1997-01-03,1997-01-31 00:00:00.000,1997-01-08 00:00:00.000,1,155.97,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,,24100,Italy,Magazzini Alimentari Riuniti,Giovanni Rovelli,Marketing Manager,Via Ludovico il Moro 22,Bergamo,,24100,Italy,035-640230,035-640231,Singaporean Hokkien Fried Mee,20,5,32 - 1 kg pkgs.,26,0,0,1,Grains/Cereals,Breads crackers pasta and cereal,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E5069637475726500010500000200000007000000504272757368000000000000000000A0290000424D98290000000000005600000028000000AC00000078000000010004000000000000000000880B0000880B0000080000,425.59999999999997,1997-01,1997
10404,49,16.0,30,0.05,MAGAA,2,1997-01-03,1997-01-31 00:00:00.000,1997-01-08 00:00:00.000,1,155.97,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,,24100,Italy,Magazzini Alimentari Riuniti,Giovanni Rovelli,Marketing Manager,Via Ludovico il Moro 22,Bergamo,,24100,Italy,035-640230,035-640231,Maxilaku,23,3,24 - 50 g pkgs.,10,60,15,0,Confections,Desserts candies and sweet breads,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E5069637475726500010500000200000007000000504272757368000000000000000000A0290000424D98290000000000005600000028000000AC00000078000000010004000000000000000000880B0000880B0000080000,456.0,1997-01,1997
10405,3,8.0,50,0.0,LINOD,1,1997-01-06,1997-02-03 00:00:00.000,1997-01-22 00:00:00.000,1,34.82,LINO-Delicateses,Ave. 5 de Mayo Porlamar,I. de Margarita,Nueva Esparta,4980,Venezuela,LINO-Delicateses,Felipe Izquierdo,Owner,Ave. 5 de Mayo Porlamar,I. de Margarita,Nueva Esparta,4980,Venezuela,(8) 34-56-12,(8) 34-93-93,Aniseed Syrup,1,2,12 - 550 ml bottles,13,70,25,0,Condiments,Sweet and savory sauces relishes spreads and seasonings,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E5069637475726500010500000200000007000000504272757368000000000000000000A0290000424D98290000000000005600000028000000AC00000078000000010004000000000000000000880B0000880B0000080000,400.0,1997-01,1997
10406,1,14.4,10,0.0,QUEEN,7,1997-01-07,1997-02-18 00:00:00.000,1997-01-13 00:00:00.000,1,108.04,Queen Cozinha,Alameda dos Canàrios 891,Sao Paulo,SP,05487-020,Brazil,Queen Cozinha,Lúcia Carvalho,Marketing Assistant,Alameda dos Canàrios 891,Sao Paulo,SP,05487-020,Brazil,(11) 555-1189,,Chai,1,1,10 boxes x 20 bags,39,0,10,0,Beverages,Soft drinks coffees teas beers and ales,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E5069637475726500010500000200000007000000504272757368000000000000000000A0290000424D98290000000000005600000028000000AC00000078000000010004000000000000000000880B0000880B0000080000,144.0,1997-01,1997
10406,21,8.0,30,0.1,QUEEN,7,1997-01-07,1997-02-18 00:00:00.000,1997-01-13 00:00:00.000,1,108.04,Queen Cozinha,Alameda dos Canàrios 891,Sao Paulo,SP,05487-020,Brazil,Queen Cozinha,Lúcia Carvalho,Marketing Assistant,Alameda dos Canàrios 891,Sao Paulo,SP,05487-020,Brazil,(11) 555-1189,,Sir Rodney's Scones,8,3,24 pkgs. x 4 pieces,3,40,5,0,Confections,Desserts candies and sweet breads,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E5069637475726500010500000200000007000000504272757368000000000000000000A0290000424D98290000000000005600000028000000AC00000078000000010004000000000000000000880B0000880B0000080000,216.0,1997-01,1997
